effective_nonzero_recurrent_density_offdiag,method,post_rec_weight_abs_mean,post_rec_weight_abs_mean_nz,post_rec_weight_abs_std,post_rec_weight_abs_std_nz,post_rec_weight_nz_count,pre_rec_weight_abs_mean,pre_rec_weight_abs_mean_nz,pre_rec_weight_abs_std,pre_rec_weight_abs_std_nz,pre_rec_weight_nz_count,pruning_pct,pruning_seed,run_id,source_model_label,source_network_seed,strategy,task_short
0.1985460494129158,S-NP rescale,0.0625343397259712,0.3155778050422668,0.1292321234941482,0.0665278583765029,51946.0,0.0624767616391181,0.0625990256667137,0.0459620244801044,0.0459237210452556,261632.0,80,0.0,taskpres_rescale_completion_ctxdlydm1intseq_netseed0_snp_rescale_p80_pruneseed0,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,simulation_noise_prune_rescale,ctxdlydm1intseq
0.1977625061154599,S-NP rescale,0.0622648373246192,0.3154626488685608,0.1289597302675247,0.0662116184830665,51741.0,0.0624767616391181,0.0625990256667137,0.0459620244801044,0.0459237210452556,261632.0,80,1.0,taskpres_rescale_completion_ctxdlydm1intseq_netseed0_snp_rescale_p80_pruneseed1,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,simulation_noise_prune_rescale,ctxdlydm1intseq
0.1988976883561644,S-NP rescale,0.0626175180077552,0.315438836812973,0.1292387843132019,0.0662633255124092,52038.0,0.0624767616391181,0.0625990256667137,0.0459620244801044,0.0459237210452556,261632.0,80,2.0,taskpres_rescale_completion_ctxdlydm1intseq_netseed0_snp_rescale_p80_pruneseed2,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,simulation_noise_prune_rescale,ctxdlydm1intseq
0.1999946489726027,Random,0.0125973857939243,0.0631118789315223,0.0326028279960155,0.0462298654019832,52325.0,0.0628996714949607,0.0630227625370025,0.0463662855327129,0.0463279820978641,261632.0,80,0.0,taskpres_ctxdlydm1intseq_netseed1_random_p80_pruneseed0,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,random_unstructured,ctxdlydm1intseq
0.2000328705968689,Random,0.012607529759407,0.0631506294012069,0.0327006056904792,0.0465231351554393,52335.0,0.0628996714949607,0.0630227625370025,0.0463662855327129,0.0463279820978641,261632.0,80,1.0,taskpres_ctxdlydm1intseq_netseed1_random_p80_pruneseed1,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,random_unstructured,ctxdlydm1intseq
0.1999831824853229,Random,0.0126097705215215,0.0631775483489036,0.0326389521360397,0.0462885499000549,52322.0,0.0628996714949607,0.0630227625370025,0.0463662855327129,0.0463279820978641,261632.0,80,2.0,taskpres_ctxdlydm1intseq_netseed1_random_p80_pruneseed2,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,random_unstructured,ctxdlydm1intseq
0.2003921538649706,Magnitude,0.0270506236702203,0.1352525949478149,0.0561032965779304,0.0332150608301162,52429.0,0.0628996714949607,0.0630227625370025,0.0463662855327129,0.0463279820978641,261632.0,80,0.0,taskpres_ctxdlydm1intseq_netseed1_magnitude_p80_pruneseed0,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,l1_unstructured,ctxdlydm1intseq
0.2003921538649706,OBS compensated,0.028729423880577,0.1436465829610824,0.0615209490060806,0.0491590090095996,52429.0,0.0628996714949607,0.0630227625370025,0.0463662855327129,0.0463279820978641,261632.0,80,0.0,taskpres_obs_compensated_ctxdlydm1intseq_netseed1_p80_pruneseed0,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,obs_compensated,ctxdlydm1intseq
0.1999984711350293,L-NP mask,0.0258618295192718,0.1295631974935531,0.0548866242170333,0.0406991317868232,52326.0,0.0628996714949607,0.0630227625370025,0.0463662855327129,0.0463279820978641,261632.0,80,0.0,taskpres_ctxdlydm1intseq_netseed1_vnp_p80_pruneseed0,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,vanilla_mask_only,ctxdlydm1intseq
0.1916355797455968,L-NP rescale,0.0630123168230056,0.3294567167758941,0.136184349656105,0.0958428606390953,50138.0,0.0628996714949607,0.0630227625370025,0.0463662855327129,0.0463279820978641,261632.0,80,0.0,taskpres_ctxdlydm1intseq_netseed1_vnp_rescale_p80_pruneseed0,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,noise_prune,ctxdlydm1intseq
