abs_max_nonzero,abs_mean_all_offdiag,abs_mean_nonzero,abs_median_nonzero,abs_q90_nonzero,abs_q999_nonzero,abs_q99_nonzero,abs_std_all_offdiag,abs_std_nonzero,log10_abs_mean_nonzero,log10_abs_median_nonzero,log10_abs_q10_nonzero,log10_abs_q90_nonzero,log10_abs_q99_nonzero,log10_abs_std_nonzero,method,nonzero_count,nonzero_density_offdiag,offdiag_count,phase,pruning_pct,pruning_seed,run_id,signed_mean_all_offdiag,signed_std_all_offdiag,source_model_label,source_network_seed,strategy,task_short,zero_count
0.4799298048019409,0.06259902175923052,0.06259902175923052,0.05450792238116264,0.12471801340579985,0.28031609392166235,0.1978659410774708,0.04592372039419748,0.04592372039419748,-1.3719752887618415,-1.26354037125351,-1.981341854113751,-0.9040708155092135,-0.7036289550508957,0.4716222825335093,Unpruned baseline,261632,1.0,261632,pre,80,0,baseline_ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0.0002557529807269059,0.07763736349509748,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,none,ctxdlydm1intseq,0
0.4799298048019409,0.06257534772591948,0.3245779812892103,0.35237471759319305,0.3721416562795639,0.3945619437992573,0.38439616560935974,0.13123773860434798,0.06555229973446317,-0.5020328368163535,-0.4529952591817855,-0.6683868871104163,-0.42929171380070097,-0.41522095311327906,0.12139274869973218,L-NP rescale,50440,0.19278987279843443,261632,post,80,0,taskpres_ctxdlydm1intseq_netseed0_vnp_rescale_p80_pruneseed0,-1.5497836321359954e-05,0.14539263370893307,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,noise_prune,ctxdlydm1intseq,211192
0.4799298048019409,0.06283006009066759,0.3249328776762511,0.3526773303747177,0.3721192181110382,0.3936620309054852,0.3844575008749962,0.13151508942832527,0.06544891578554177,-0.5014882095432788,-0.4526224553024091,-0.6675610513243928,-0.42931790024438965,-0.4151516617325428,0.12105634876348702,L-NP rescale,50590,0.19336319716242661,261632,post,80,1,taskpres_ctxdlydm1intseq_netseed0_vnp_rescale_p80_pruneseed1,0.0004770803087461127,0.14575186994586486,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,noise_prune,ctxdlydm1intseq,211042
0.4799298048019409,0.06255167039532322,0.32452594001208046,0.35240438580513,0.372259122133255,0.39406143653392794,0.3842788922786713,0.13122329473193564,0.06572490297249887,-0.5021740432527321,-0.45295869526817906,-0.669031058442246,-0.4291546511490003,-0.41535346992237693,0.1216694468319275,L-NP rescale,50429,0.19274782901174167,261632,post,80,2,taskpres_ctxdlydm1intseq_netseed0_vnp_rescale_p80_pruneseed2,0.00013725905725698272,0.14536934239894192,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,noise_prune,ctxdlydm1intseq,211203
0.545307457447052,0.0630227629996366,0.0630227629996366,0.05466938205063343,0.12605405896902083,0.2757345332801343,0.2003803309798241,0.046327983934221696,0.046327983934221696,-1.3698335125413144,-1.262255835083038,-1.980568225168591,-0.8994431653826295,-0.6981449108158552,0.4719203011767914,Unpruned baseline,261632,1.0,261632,pre,80,0,baseline_ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,-0.0001037950852009029,0.07821853986171154,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,none,ctxdlydm1intseq,0
0.545307457447052,0.06313562645812287,0.3294567039269936,0.3761672377586365,0.4071536213159561,0.43286260634660706,0.42291186928749086,0.13628897390808228,0.09584285790410646,-0.5097730465766461,-0.42461903196925066,-0.7958503369925921,-0.3902416981455393,-0.37375012593442014,0.1724863494313334,L-NP rescale,50138,0.19163557974559686,261632,post,80,0,taskpres_ctxdlydm1intseq_netseed1_vnp_rescale_p80_pruneseed0,-0.0003898988674009089,0.1502019963783796,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,noise_prune,ctxdlydm1intseq,211494
0.545307457447052,0.06337020924292815,0.3297600259486411,0.37632232904434204,0.40732861757278443,0.43381676164269445,0.42282041281461713,0.13652341710780042,0.09563123742459767,-0.5092106567653802,-0.42444001210208154,-0.7953661024331079,-0.3900550767372663,-0.3738440541283032,0.17198810214857777,L-NP rescale,50278,0.1921706824853229,261632,post,80,1,taskpres_ctxdlydm1intseq_netseed1_vnp_rescale_p80_pruneseed1,0.00018976725265827966,0.15051375627055744,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,noise_prune,ctxdlydm1intseq,211354
0.545307457447052,0.06292372350495273,0.3294878340447872,0.37630847096443176,0.4074739158153534,0.43374133968353273,0.4225746858119965,0.13613688855460593,0.09600072184122446,-0.509823654434496,-0.42445600530038124,-0.7964176958302507,-0.3899001871204238,-0.37409652279700883,0.17278245661063377,L-NP rescale,49965,0.19097434564579258,261632,post,80,2,taskpres_ctxdlydm1intseq_netseed1_vnp_rescale_p80_pruneseed2,-0.00029706712547061353,0.1499751951363288,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,noise_prune,ctxdlydm1intseq,211667
0.5267032384872437,0.06214502812007855,0.06214502812007855,0.054541485384106636,0.12345375940203666,0.26335713651776316,0.19186469212174417,0.0448891075467393,0.0448891075467393,-1.3728307656677163,-1.263273038649394,-1.9808858794890345,-0.908495680436956,-0.7170049389364095,0.46879994829386695,Unpruned baseline,261632,1.0,261632,pre,80,0,baseline_ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,-3.5600486926443886e-05,0.076661823804247,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,2,none,ctxdlydm1intseq,0
0.5267032384872437,0.06200126273218635,0.34111776866609284,0.3934438228607178,0.45833097100257875,0.4918367564678192,0.4796274310350418,0.14152957936915256,0.12244437090308342,-0.5115273227819868,-0.4051172688189455,-0.849570956300494,-0.338820794990428,-0.31909598655513793,0.2244866082802939,L-NP rescale,47554,0.18175911203522505,261632,post,80,0,taskpres_ctxdlydm1intseq_netseed2_vnp_rescale_p80_pruneseed0,-4.985844945245051e-05,0.15451464633143963,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,2,noise_prune,ctxdlydm1intseq,214078
0.5267032384872437,0.06261561842054734,0.34144624687060265,0.3933354318141937,0.4585149049758911,0.49208146202564074,0.4793423897027969,0.1421121085590275,0.1221612208606635,-0.51088045785674,-0.4052369304061804,-0.8454723726272233,-0.3386465421235792,-0.31935416333045136,0.22405522130303854,L-NP rescale,47979,0.1833835310665362,261632,post,80,1,taskpres_ctxdlydm1intseq_netseed2_vnp_rescale_p80_pruneseed1,1.4066042412945422e-05,0.1552950960958744,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,2,noise_prune,ctxdlydm1intseq,213653
