adaptive_lr,adaptive_lr_decrease_factor,adaptive_lr_improve_fraction,adaptive_lr_increase_factor,adaptive_lr_min,adaptive_lr_min_delta,adaptive_lr_patience,adaptive_lr_smoothing,adaptive_lr_window,amount,amount_step,clip,config_json,config_yaml,delta_post0_acc,delta_post_acc,device,eval_last_only,eval_sample_batches,eval_seed,eval_steps_post,eval_steps_post0,eval_steps_pre,eval_steps_pre0,ft_steps,hidden_size_override,last_only,load_model_path,lr,lr_start,lr_warmup_steps,metrics_json,model_kwargs,model_type,movement_batches,ng_B,ng_T,ng_dataset_kwargs,ng_kwargs,no_prune,post0_acc,post0_acc_last_valid,post0_acc_sequence,post0_alpha_rho,post0_loss,post0_loss_last_valid,post0_neuron_keep_fraction,post0_neurons_cols_zero,post0_neurons_isolated,post0_neurons_rows_zero,post0_readout_weight_abs_mean,post0_readout_weight_abs_std,post0_rec_ct_abscissa,post0_rec_ct_margin,post0_rec_linear_margin,post0_rec_linear_rho,post0_rec_weight_abs_mean,post0_rec_weight_abs_mean_nz,post0_rec_weight_abs_std,post0_rec_weight_abs_std_nz,post0_rec_weight_l2,post0_rec_weight_nz_count,post0_sparsity,post0_sparsity_input,post0_sparsity_readout,post0_sparsity_recurrent,post_acc,post_acc_last_valid,post_acc_sequence,post_alpha_rho,post_loss,post_loss_last_valid,post_neuron_keep_fraction,post_neurons_cols_zero,post_neurons_isolated,post_neurons_rows_zero,post_readout_weight_abs_mean,post_readout_weight_abs_std,post_rec_ct_abscissa,post_rec_ct_margin,post_rec_linear_margin,post_rec_linear_rho,post_rec_weight_abs_mean,post_rec_weight_abs_mean_nz,post_rec_weight_abs_std,post_rec_weight_abs_std_nz,post_rec_weight_l2,post_rec_weight_nz_count,post_sparsity,post_sparsity_input,post_sparsity_readout,post_sparsity_recurrent,pre0_acc,pre0_acc_last_valid,pre0_acc_sequence,pre0_alpha_rho,pre0_loss,pre0_loss_last_valid,pre0_neuron_keep_fraction,pre0_neurons_cols_zero,pre0_neurons_isolated,pre0_neurons_rows_zero,pre0_readout_weight_abs_mean,pre0_readout_weight_abs_std,pre0_rec_ct_abscissa,pre0_rec_ct_margin,pre0_rec_linear_margin,pre0_rec_linear_rho,pre0_rec_weight_abs_mean,pre0_rec_weight_abs_mean_nz,pre0_rec_weight_abs_std,pre0_rec_weight_abs_std_nz,pre0_rec_weight_l2,pre0_rec_weight_nz_count,pre0_sparsity,pre0_sparsity_input,pre0_sparsity_readout,pre0_sparsity_recurrent,pre_acc,pre_acc_last_valid,pre_acc_sequence,pre_alpha_rho,pre_loss,pre_loss_last_valid,pre_neuron_keep_fraction,pre_neurons_cols_zero,pre_neurons_isolated,pre_neurons_rows_zero,pre_readout_weight_abs_mean,pre_readout_weight_abs_std,pre_rec_ct_abscissa,pre_rec_ct_margin,pre_rec_linear_margin,pre_rec_linear_rho,pre_rec_weight_abs_mean,pre_rec_weight_abs_mean_nz,pre_rec_weight_abs_std,pre_rec_weight_abs_std_nz,pre_rec_weight_l2,pre_rec_weight_nz_count,pre_sparsity,pre_sparsity_input,pre_sparsity_readout,pre_sparsity_recurrent,prune_phase,pruned,pruned_pretraining,recurrent_l2_lambda,run_dir,run_id,save_model_path,score_batch_max_resamples,score_batch_min_valid,score_batch_seed,seed,skip_training,strategy,task,train_best_metric,train_best_metric_mode,train_best_restored,train_best_step,train_best_tie_metric,train_best_tie_metric_mode,train_best_train_recent_loss,train_best_val_acc,train_best_val_acc_last_valid,train_best_val_acc_sequence,train_best_val_loss,train_best_val_loss_last_valid,train_history_csv,train_history_path,train_progress,train_progress_every,train_select_best,train_steps,train_val_interval
False,0.5,0.6,1.03,,0.0001,25,0.05,50,0.0,0.1,1.0,results/continue_modcog_ctxdlydm2intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/config.json,results/continue_modcog_ctxdlydm2intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/config.yaml,0.0,0.0,cpu,False,64,0,100,100,100,50,0.0,512,False,checkpoints/tanh_h512_modcog_revised8_6k_seqbest_no_l2_seed1/modcog_ctxdlydm2intseq_seed1.pt,0.0006,,0,results/continue_modcog_ctxdlydm2intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/metrics.json,"{""activation"": ""tanh"", ""no_self_connections"": true, ""use_dale"": false}",ctrnn,20,256,40,,,True,0.0,0.69354248046875,0.6946926652892562,0.6845994472503663,1.0001197008800902,1.022857846255647,1.0,0.0,0.0,0.0,0.1636132001876831,0.10858583450317383,1.1897608041763306,-1.1897608041763306,-0.11897611618041992,1.11897611618042,0.06298299133777618,0.0631062462925911,0.04630081728100777,0.04626211151480675,40.02316665649414,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.69354248046875,0.6946926652892562,0.6845994472503663,1.0001197008800902,1.022857846255647,1.0,0.0,0.0,0.0,0.1636132001876831,0.10858583450317383,1.1897608041763306,-1.1897608041763306,-0.11897611618041992,1.11897611618042,0.06298299133777618,0.0631062462925911,0.04630081728100777,0.04626211151480675,40.02316665649414,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.40081787109375,0.4808044938016529,0.6123988628387451,1.401332953301343,1.4616207883227617,1.0,0.0,0.0,0.0,0.12088649719953537,0.0854153111577034,1.356448769569397,-1.356448769569397,-0.135644793510437,1.135644793510437,0.060262858867645264,0.06038079038262367,0.043381549417972565,0.04334190860390663,38.01760482788086,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.69354248046875,0.6946926652892562,0.6845994472503663,1.0001197008800902,1.022857846255647,1.0,0.0,0.0,0.0,0.1636132001876831,0.10858583450317383,1.1897608041763306,-1.1897608041763306,-0.11897611618041992,1.11897611618042,0.06298299133777618,0.0631062462925911,0.04630081728100777,0.04626211151480675,40.02316665649414,261632.0,0.001953125,0.0,0.0,0.001953125,post,False,False,0.0,results/continue_modcog_ctxdlydm2intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1,continue_modcog_ctxdlydm2intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1/modcog_ctxdlydm2intseq_seed1.pt,10,1,,1,False,none,modcog:ctxdlydm2intseq,acc_sequence,max,True,4500.0,loss,min,1.0527374160283876,0.0,0.69354248046875,0.6946926652892562,1.0001197008800902,1.022857846255647,results/continue_modcog_ctxdlydm2intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/training_history.csv,results/continue_modcog_ctxdlydm2intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/training_history.csv,True,100,True,6000.0,500
False,0.5,0.6,1.03,,0.0001,25,0.05,50,0.0,0.1,1.0,results/continue_modcog_ctxdlydm1intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/config.json,results/continue_modcog_ctxdlydm1intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/config.yaml,0.0,0.0,cpu,False,64,0,100,100,100,50,0.0,512,False,checkpoints/tanh_h512_modcog_revised8_6k_seqbest_no_l2_seed1/modcog_ctxdlydm1intseq_seed1.pt,0.0006,,0,results/continue_modcog_ctxdlydm1intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/metrics.json,"{""activation"": ""tanh"", ""no_self_connections"": true, ""use_dale"": false}",ctrnn,20,256,40,,,True,0.0,0.6185302734375,0.7169236168885191,0.6608667850494385,0.8543419177193015,0.9871999532952032,1.0,0.0,0.0,0.0,0.16574257612228394,0.11110101640224457,0.669050395488739,-0.669050395488739,-0.06723606586456299,1.067236065864563,0.06289967149496078,0.06302276253700256,0.046366285532712936,0.04632798209786415,40.00862503051758,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.6185302734375,0.7169236168885191,0.6608667850494385,0.8543419177193015,0.9871999532952032,1.0,0.0,0.0,0.0,0.16574257612228394,0.11110101640224457,0.669050395488739,-0.669050395488739,-0.06723606586456299,1.067236065864563,0.06289967149496078,0.06302276253700256,0.046366285532712936,0.04632798209786415,40.00862503051758,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.53662109375,0.543365224625624,0.5812921047210694,1.2266534877299469,1.2945228496100754,1.0,0.0,0.0,0.0,0.12090478092432022,0.08748572319746017,0.6942879557609558,-0.6942879557609558,-0.06942880153656006,1.06942880153656,0.05939149111509323,0.05950770899653435,0.042722951620817184,0.04268379509449005,37.4585075378418,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.6185302734375,0.7169236168885191,0.6608667850494385,0.8543419177193015,0.9871999532952032,1.0,0.0,0.0,0.0,0.16574257612228394,0.11110101640224457,0.669050395488739,-0.669050395488739,-0.06723606586456299,1.067236065864563,0.06289967149496078,0.06302276253700256,0.046366285532712936,0.04632798209786415,40.00862503051758,261632.0,0.001953125,0.0,0.0,0.001953125,post,False,False,0.0,results/continue_modcog_ctxdlydm1intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1,continue_modcog_ctxdlydm1intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1/modcog_ctxdlydm1intseq_seed1.pt,10,1,,1,False,none,modcog:ctxdlydm1intseq,acc_sequence,max,True,5000.0,loss,min,1.0754772684231486,0.0,0.6185302734375,0.7169236168885191,0.8543419177193015,0.9871999532952032,results/continue_modcog_ctxdlydm1intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/training_history.csv,results/continue_modcog_ctxdlydm1intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/training_history.csv,True,100,True,6000.0,500
False,0.5,0.6,1.03,,0.0001,25,0.05,50,0.0,0.1,1.0,results/continue_modcog_dlydm1intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/config.json,results/continue_modcog_dlydm1intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/config.yaml,0.0,0.0,cpu,False,64,0,100,100,100,50,0.0,512,False,checkpoints/tanh_h512_modcog_revised8_6k_seqbest_no_l2_seed1/modcog_dlydm1intseq_seed1.pt,0.0006,,0,results/continue_modcog_dlydm1intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/metrics.json,"{""activation"": ""tanh"", ""no_self_connections"": true, ""use_dale"": false}",ctrnn,20,256,40,,,True,0.0,0.72802734375,0.7691419227574751,0.7121257305145264,0.5844171740535485,0.6769880808806192,1.0,0.0,0.0,0.0,0.17695312201976776,0.12027013301849365,0.5559259653091431,-0.5559259653091431,-0.05824542045593262,1.0582454204559326,0.06274155527353287,0.06286434084177017,0.04642239585518837,0.046384669840335846,39.96056365966797,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.72802734375,0.7691419227574751,0.7121257305145264,0.5844171740535485,0.6769880808806192,1.0,0.0,0.0,0.0,0.17695312201976776,0.12027013301849365,0.5559259653091431,-0.5559259653091431,-0.05824542045593262,1.0582454204559326,0.06274155527353287,0.06286434084177017,0.04642239585518837,0.046384669840335846,39.96056365966797,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.37005615234375,0.487093801910299,0.6260292053222657,1.7503724818510866,2.9954284739214927,1.0,0.0,0.0,0.0,0.13195663690567017,0.09446703642606735,0.3264712393283844,-0.3264712393283844,-0.03762531280517578,1.0376253128051758,0.059759389609098434,0.05987633392214775,0.04293226823210716,0.042892709374427795,37.67400360107422,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.72802734375,0.7691419227574751,0.7121257305145264,0.5844171740535485,0.6769880808806192,1.0,0.0,0.0,0.0,0.17695312201976776,0.12027013301849365,0.5559259653091431,-0.5559259653091431,-0.05824542045593262,1.0582454204559326,0.06274155527353287,0.06286434084177017,0.04642239585518837,0.046384669840335846,39.96056365966797,261632.0,0.001953125,0.0,0.0,0.001953125,post,False,False,0.0,results/continue_modcog_dlydm1intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1,continue_modcog_dlydm1intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1/modcog_dlydm1intseq_seed1.pt,10,1,,1,False,none,modcog:dlydm1intseq,acc_sequence,max,True,4500.0,loss,min,0.9199667359141266,0.0,0.72802734375,0.7691419227574751,0.5844171740535485,0.6769880808806192,results/continue_modcog_dlydm1intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/training_history.csv,results/continue_modcog_dlydm1intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/training_history.csv,True,100,True,6000.0,500
False,0.5,0.6,1.03,,0.0001,25,0.05,50,0.0,0.1,1.0,results/continue_modcog_dlydm2intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/config.json,results/continue_modcog_dlydm2intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/config.yaml,0.0,0.0,cpu,False,64,0,100,100,100,50,0.0,512,False,checkpoints/tanh_h512_modcog_revised8_6k_seqbest_no_l2_seed1/modcog_dlydm2intseq_seed1.pt,0.0006,,0,results/continue_modcog_dlydm2intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/metrics.json,"{""activation"": ""tanh"", ""no_self_connections"": true, ""use_dale"": false}",ctrnn,20,256,40,,,True,0.0,0.60589599609375,0.6147207391122278,0.6308334350585938,0.9688226462933087,0.9615823467829614,1.0,0.0,0.0,0.0,0.15573625266551971,0.11363036930561066,0.5718768835067749,-0.5718768835067749,-0.07105135917663574,1.0710513591766357,0.06264428794384003,0.06276687234640121,0.04627622291445732,0.04623834788799286,39.87604904174805,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.60589599609375,0.6147207391122278,0.6308334350585938,0.9688226462933087,0.9615823467829614,1.0,0.0,0.0,0.0,0.15573625266551971,0.11363036930561066,0.5718768835067749,-0.5718768835067749,-0.07105135917663574,1.0710513591766357,0.06264428794384003,0.06276687234640121,0.04627622291445732,0.04623834788799286,39.87604904174805,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.5201416015625,0.43570063860971525,0.5988786697387696,1.4058238741141469,1.1908339220099151,1.0,0.0,0.0,0.0,0.10904216766357422,0.0881364718079567,0.49724793434143066,-0.49724793434143066,-0.06382644176483154,1.0638264417648315,0.0581577867269516,0.05827159807085991,0.041432660073041916,0.04139314964413643,36.560359954833984,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.60589599609375,0.6147207391122278,0.6308334350585938,0.9688226462933087,0.9615823467829614,1.0,0.0,0.0,0.0,0.15573625266551971,0.11363036930561066,0.5718768835067749,-0.5718768835067749,-0.07105135917663574,1.0710513591766357,0.06264428794384003,0.06276687234640121,0.04627622291445732,0.04623834788799286,39.87604904174805,261632.0,0.001953125,0.0,0.0,0.001953125,post,False,False,0.0,results/continue_modcog_dlydm2intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1,continue_modcog_dlydm2intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1/modcog_dlydm2intseq_seed1.pt,10,1,,1,False,none,modcog:dlydm2intseq,acc_sequence,max,False,6000.0,loss,min,1.1555772622947185,0.0,0.60589599609375,0.6147207391122278,0.9688226462933087,0.9615823467829614,results/continue_modcog_dlydm2intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/training_history.csv,results/continue_modcog_dlydm2intseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/training_history.csv,True,100,True,6000.0,500
False,0.5,0.6,1.03,,0.0001,25,0.05,50,0.0,0.1,1.0,results/continue_modcog_multidlydmintseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/config.json,results/continue_modcog_multidlydmintseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/config.yaml,0.0,0.0,cpu,False,64,0,100,100,100,50,0.0,512,False,checkpoints/tanh_h512_modcog_revised8_6k_seqbest_no_l2_seed1/modcog_multidlydmintseq_seed1.pt,0.0006,,0,results/continue_modcog_multidlydmintseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/metrics.json,"{""activation"": ""tanh"", ""no_self_connections"": true, ""use_dale"": false}",ctrnn,20,256,40,,,True,0.0,0.63629150390625,0.632896714344942,0.7115888595581055,1.3887634137351912,1.8103346167772543,1.0,0.0,0.0,0.0,0.1486099660396576,0.10583192855119705,0.15129777789115906,-0.15129777789115906,-0.03509378433227539,1.0350937843322754,0.06255153566598892,0.06267395615577698,0.04631471633911133,0.04627719521522522,39.84962844848633,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.63629150390625,0.632896714344942,0.7115888595581055,1.3887634137351912,1.8103346167772543,1.0,0.0,0.0,0.0,0.1486099660396576,0.10583192855119705,0.15129777789115906,-0.15129777789115906,-0.03509378433227539,1.0350937843322754,0.06255153566598892,0.06267395615577698,0.04631471633911133,0.04627719521522522,39.84962844848633,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.3802490234375,0.36201155679933666,0.6583693981170655,1.5782676820039354,1.5688909746240824,1.0,0.0,0.0,0.0,0.10081404447555542,0.07898139953613281,-0.008766033686697483,0.008766033686697483,-0.01378476619720459,1.0137847661972046,0.05900200828909874,0.059117481112480164,0.04228854924440384,0.042249202728271484,37.166839599609375,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.63629150390625,0.632896714344942,0.7115888595581055,1.3887634137351912,1.8103346167772543,1.0,0.0,0.0,0.0,0.1486099660396576,0.10583192855119705,0.15129777789115906,-0.15129777789115906,-0.03509378433227539,1.0350937843322754,0.06255153566598892,0.06267395615577698,0.04631471633911133,0.04627719521522522,39.84962844848633,261632.0,0.001953125,0.0,0.0,0.001953125,post,False,False,0.0,results/continue_modcog_multidlydmintseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1,continue_modcog_multidlydmintseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1/modcog_multidlydmintseq_seed1.pt,10,1,,1,False,none,modcog:multidlydmintseq,acc_sequence,max,True,5500.0,loss,min,1.4099618953685586,0.0,0.63629150390625,0.632896714344942,1.3887634137351912,1.8103346167772543,results/continue_modcog_multidlydmintseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/training_history.csv,results/continue_modcog_multidlydmintseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/training_history.csv,True,100,True,6000.0,500
False,0.5,0.6,1.03,,0.0001,25,0.05,50,0.0,0.1,1.0,results/continue_modcog_dm1seqr_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/config.json,results/continue_modcog_dm1seqr_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/config.yaml,0.0,0.0,cpu,False,64,0,100,100,100,50,0.0,512,False,checkpoints/tanh_h512_modcog_revised8_6k_seqbest_no_l2_seed1/modcog_dm1seqr_seed1.pt,0.0006,,0,results/continue_modcog_dm1seqr_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/metrics.json,"{""activation"": ""tanh"", ""no_self_connections"": true, ""use_dale"": false}",ctrnn,20,256,30,,,True,0.0,0.71966552734375,0.6516174623115578,0.8451511383056641,0.9408122482810987,0.8664401853047821,1.0,0.0,0.0,0.0,0.10316827148199081,0.0750802755355835,0.5620155930519104,-0.5620155930519104,-0.1833411455154419,1.183341145515442,0.059606365859508514,0.059723012149333954,0.04020963981747627,0.040162328630685806,36.813026428222656,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.71966552734375,0.6516174623115578,0.8451511383056641,0.9408122482810987,0.8664401853047821,1.0,0.0,0.0,0.0,0.10316827148199081,0.0750802755355835,0.5620155930519104,-0.5620155930519104,-0.1833411455154419,1.183341145515442,0.059606365859508514,0.059723012149333954,0.04020963981747627,0.040162328630685806,36.813026428222656,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.71966552734375,0.6516174623115578,0.8451511383056641,0.9408122482810987,0.8664401853047821,1.0,0.0,0.0,0.0,0.10316827148199081,0.0750802755355835,0.5620155930519104,-0.5620155930519104,-0.1833411455154419,1.183341145515442,0.059606365859508514,0.059723012149333954,0.04020963981747627,0.040162328630685806,36.813026428222656,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.71966552734375,0.6516174623115578,0.8451511383056641,0.9408122482810987,0.8664401853047821,1.0,0.0,0.0,0.0,0.10316827148199081,0.0750802755355835,0.5620155930519104,-0.5620155930519104,-0.1833411455154419,1.183341145515442,0.059606365859508514,0.059723012149333954,0.04020963981747627,0.040162328630685806,36.813026428222656,261632.0,0.001953125,0.0,0.0,0.001953125,post,False,False,0.0,results/continue_modcog_dm1seqr_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1,continue_modcog_dm1seqr_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1/modcog_dm1seqr_seed1.pt,10,1,,1,False,none,modcog:dm1seqr,acc_sequence,max,True,0.0,loss,min,,0.0,0.71966552734375,0.6516174623115578,0.9408122482810987,0.8664401853047821,results/continue_modcog_dm1seqr_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/training_history.csv,results/continue_modcog_dm1seqr_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/training_history.csv,True,100,True,6000.0,500
False,0.5,0.6,1.03,,0.0001,25,0.05,50,0.0,0.1,1.0,results/continue_modcog_dm2seql_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/config.json,results/continue_modcog_dm2seql_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/config.yaml,0.0,0.0,cpu,False,64,0,100,100,100,50,0.0,512,False,checkpoints/tanh_h512_modcog_revised8_6k_seqbest_no_l2_seed1/modcog_dm2seql_seed1.pt,0.0006,,0,results/continue_modcog_dm2seql_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/metrics.json,"{""activation"": ""tanh"", ""no_self_connections"": true, ""use_dale"": false}",ctrnn,20,256,30,,,True,0.0,0.645751953125,0.63329346921797,0.8622978210449219,1.3336847371076188,1.401169559070695,1.0,0.0,0.0,0.0,0.14768816530704498,0.10902749747037888,1.6542731523513794,-1.6542731523513794,-0.2765291929244995,1.2765291929244995,0.0631898045539856,0.06331346184015274,0.04506651684641838,0.04502372816205025,39.73823165893555,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.645751953125,0.63329346921797,0.8622978210449219,1.3336847371076188,1.401169559070695,1.0,0.0,0.0,0.0,0.14768816530704498,0.10902749747037888,1.6542731523513794,-1.6542731523513794,-0.2765291929244995,1.2765291929244995,0.0631898045539856,0.06331346184015274,0.04506651684641838,0.04502372816205025,39.73823165893555,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.582763671875,0.5487468801996672,0.875339412689209,1.4032150028078212,1.5932263212152975,1.0,0.0,0.0,0.0,0.11904290318489075,0.08419091254472733,0.6405893564224243,-0.6405893564224243,-0.19489967823028564,1.1948996782302856,0.06069786846637726,0.060816653072834015,0.04180656000971794,0.041761044412851334,37.73542022705078,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.645751953125,0.63329346921797,0.8622978210449219,1.3336847371076188,1.401169559070695,1.0,0.0,0.0,0.0,0.14768816530704498,0.10902749747037888,1.6542731523513794,-1.6542731523513794,-0.2765291929244995,1.2765291929244995,0.0631898045539856,0.06331346184015274,0.04506651684641838,0.04502372816205025,39.73823165893555,261632.0,0.001953125,0.0,0.0,0.001953125,post,False,False,0.0,results/continue_modcog_dm2seql_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1,continue_modcog_dm2seql_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1/modcog_dm2seql_seed1.pt,10,1,,1,False,none,modcog:dm2seql,acc_sequence,max,False,6000.0,loss,min,1.2572094138860128,0.0,0.645751953125,0.63329346921797,1.3336847371076188,1.401169559070695,results/continue_modcog_dm2seql_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/training_history.csv,results/continue_modcog_dm2seql_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/training_history.csv,True,100,True,6000.0,500
False,0.5,0.6,1.03,,0.0001,25,0.05,50,0.0,0.1,1.0,results/continue_modcog_dmsintseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/config.json,results/continue_modcog_dmsintseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/config.yaml,0.0,0.0,cpu,False,64,0,100,100,100,50,0.0,512,False,checkpoints/tanh_h512_modcog_revised8_6k_seqbest_no_l2_seed1/modcog_dmsintseq_seed1.pt,0.0006,,0,results/continue_modcog_dmsintseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/metrics.json,"{""activation"": ""tanh"", ""no_self_connections"": true, ""use_dale"": false}",ctrnn,20,256,38,,,True,0.0,0.9469866071428571,0.9486736214605067,0.6896827697753907,0.21545490098825687,0.21624301121171033,1.0,0.0,0.0,0.0,0.08550621569156647,0.06179426237940788,2.65687894821167,-2.65687894821167,-0.3288203477859497,1.3288203477859497,0.059767767786979675,0.05988473817706108,0.04036560282111168,0.040318313986063004,36.926334381103516,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.9469866071428571,0.9486736214605067,0.6896827697753907,0.21545490098825687,0.21624301121171033,1.0,0.0,0.0,0.0,0.08550621569156647,0.06179426237940788,2.65687894821167,-2.65687894821167,-0.3288203477859497,1.3288203477859497,0.059767767786979675,0.05988473817706108,0.04036560282111168,0.040318313986063004,36.926334381103516,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.6622488839285714,0.7113710879284649,0.6553942203521729,0.670561176432094,0.8199999124876091,1.0,0.0,0.0,0.0,0.08052936941385269,0.05827030539512634,2.760371208190918,-2.760371208190918,-0.33373022079467773,1.3337302207946777,0.05927165225148201,0.05938764661550522,0.03974461928009987,0.039696820080280304,36.53803634643555,261632.0,0.001953125,0.0,0.0,0.001953125,0.0,0.9469866071428571,0.9486736214605067,0.6896827697753907,0.21545490098825687,0.21624301121171033,1.0,0.0,0.0,0.0,0.08550621569156647,0.06179426237940788,2.65687894821167,-2.65687894821167,-0.3288203477859497,1.3288203477859497,0.059767767786979675,0.05988473817706108,0.04036560282111168,0.040318313986063004,36.926334381103516,261632.0,0.001953125,0.0,0.0,0.001953125,post,False,False,0.0,results/continue_modcog_dmsintseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1,continue_modcog_dmsintseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1/modcog_dmsintseq_seed1.pt,10,1,,1,False,none,modcog:dmsintseq,acc_sequence,max,True,500.0,loss,min,0.6834228020169403,0.0,0.9469866071428571,0.9486736214605067,0.21545490098825687,0.21624301121171033,results/continue_modcog_dmsintseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/training_history.csv,results/continue_modcog_dmsintseq_tanh_h512_to12k_lr0006_seqbest_no_l2_seed1/training_history.csv,True,100,True,6000.0,500
