method_family,method,amount,log10_rescale_left,log10_rescale_right,rescale_left,rescale_right,bin_width_log10,count
S-NP,S-NP rescale,0.8,4.4,4.6000000000000005,25118.864315095823,39810.71705534977,0.2,868
S-NP,S-NP rescale,0.8,4.6000000000000005,4.800000000000001,39810.71705534977,63095.73444801943,0.2,494
S-NP,S-NP rescale,0.8,4.800000000000001,5.000000000000001,63095.73444801943,100000.0000000002,0.2,354
S-NP,S-NP rescale,0.8,5.0,5.2,100000.0,158489.3192461114,0.2,226
S-NP,S-NP rescale,0.8,5.2,5.4,158489.3192461114,251188.6431509582,0.2,138
S-NP,S-NP rescale,0.8,5.4,5.6000000000000005,251188.6431509582,398107.17055349774,0.2,105
S-NP,S-NP rescale,0.8,5.6000000000000005,5.800000000000001,398107.17055349774,630957.3444801943,0.2,36
S-NP,S-NP rescale,0.8,5.800000000000001,6.000000000000001,630957.3444801943,1000000.0000000021,0.2,36
S-NP,S-NP rescale,0.8,6.0,6.2,1000000.0,1584893.1924611141,0.2,13
S-NP,S-NP rescale,0.8,6.2,6.4,1584893.1924611141,2511886.4315095823,0.2,11
S-NP,S-NP rescale,0.8,6.6000000000000005,6.800000000000001,3981071.7055349774,6309573.444801942,0.2,6
S-NP,S-NP rescale,0.8,7.0,7.2,10000000.0,15848931.924611142,0.2,6
S-NP,S-NP rescale,0.8,7.2,7.4,15848931.924611142,25118864.315095823,0.2,6
S-NP,S-NP rescale,0.8,7.4,7.6000000000000005,25118864.315095823,39810717.055349775,0.2,5
S-NP,S-NP rescale,0.8,7.6000000000000005,7.800000000000001,39810717.055349775,63095734.44801943,0.2,1
S-NP,S-NP rescale,0.8,8.200000000000001,8.4,158489319.24611175,251188643.1509582,0.2,3
