dataset,method_family,metric,unit,n,mean,median,sd,sem,min,max,range
candidate_edge_rescale_distribution_p80,L-NP,frac_rescale_gt10,reconstructed_run,72,0.31738058290525106,0.31394286631604695,0.04271788497005691,0.005034351023379023,0.2722984955968688,0.4790774828767123,0.2067789872798435
candidate_edge_rescale_distribution_p80,L-NP,frac_rescale_gt20,reconstructed_run,72,0.16009652871208413,0.15803494985322897,0.022946996850138606,0.002704329513433226,0.1360651602250489,0.2472327544031311,0.11116759417808222
candidate_edge_rescale_distribution_p80,L-NP,positive_prob_count,reconstructed_run,72,261632.0,261632.0,0.0,0.0,261632.0,261632.0,0.0
candidate_edge_rescale_distribution_p80,L-NP,rescale_max,reconstructed_run,72,14354153.661303408,1234221.7958016228,37093470.87105057,4371507.465110921,270423.57840702747,182408809.26316193,182138385.6847549
candidate_edge_rescale_distribution_p80,L-NP,rescale_mean,reconstructed_run,72,95.97304808076272,43.905217536170476,142.11413187822623,16.74831105892218,32.590855316770416,734.0886264869073,701.4977711701368
candidate_edge_rescale_distribution_p80,L-NP,rescale_q50,reconstructed_run,72,6.207277400048976,6.089006095764754,0.8404230668933729,0.09904480827764992,5.422821472121333,9.53916879155796,4.116347319436628
candidate_edge_rescale_distribution_p80,L-NP,rescale_q75,reconstructed_run,72,12.781773394713335,12.605245619782059,1.8241759970441556,0.21498120293127568,10.888260764195689,19.76856501940188,8.880304255206191
candidate_edge_rescale_distribution_p80,L-NP,rescale_q90,reconstructed_run,72,32.052560667802695,31.491034327015598,4.698275824819349,0.5536971159357635,27.21169096246349,49.92663189652994,22.71494093406645
candidate_edge_rescale_distribution_p80,L-NP,rescale_q95,reconstructed_run,72,64.23486231871873,62.900363930322605,9.472262648229004,1.1163168586237957,54.535017294648746,99.88140206938536,45.34638477473661
candidate_edge_rescale_distribution_p80,L-NP,rescale_q99,reconstructed_run,72,321.19868328183713,314.9765930544215,45.56261463608546,5.369605629627579,275.83096651808575,486.3585713790021,210.52760486091637
candidate_edge_rescale_distribution_p80,L-NP,rescale_q999,reconstructed_run,72,3199.7819176992425,3110.62958049311,447.24769427669895,52.708646248850286,2532.569718138685,4652.871168907148,2120.301450768463
candidate_edge_rescale_distribution_p80,S-NP,frac_rescale_gt10,reconstructed_run,72,0.3049134322678843,0.3110877109833659,0.014863777704567222,0.0017517130014914832,0.2777412548923679,0.3270089285714285,0.0492676736790606
candidate_edge_rescale_distribution_p80,S-NP,frac_rescale_gt20,reconstructed_run,72,0.15394778416503582,0.15703736545988256,0.008370881960773855,0.0009865178998292228,0.1384960555283757,0.1670093872309197,0.028513331702543998
candidate_edge_rescale_distribution_p80,S-NP,positive_prob_count,reconstructed_run,72,261632.0,261632.0,0.0,0.0,261632.0,261632.0,0.0
candidate_edge_rescale_distribution_p80,S-NP,rescale_max,reconstructed_run,72,15083179.83915323,1201620.2840901641,43129557.05437978,5082867.043787341,237527.15691950484,215730896.14940915,215493368.99248964
candidate_edge_rescale_distribution_p80,S-NP,rescale_mean,reconstructed_run,72,97.02844242464789,43.81296671382205,165.34393221912052,19.485969283364835,34.81129482494352,862.9225841217337,828.1112892967902
candidate_edge_rescale_distribution_p80,S-NP,rescale_q50,reconstructed_run,72,5.921655920241183,5.9945639733204015,0.23138967731807497,0.02726953498802965,5.475032386673352,6.3233222986258735,0.8482899119525218
candidate_edge_rescale_distribution_p80,S-NP,rescale_q75,reconstructed_run,72,12.258479509301763,12.504214735381598,0.6336126598751785,0.07467196807389737,11.103009042739284,13.227045340846685,2.1240362981074004
candidate_edge_rescale_distribution_p80,S-NP,rescale_q90,reconstructed_run,72,30.83679101311132,31.50101325245933,1.725240312864018,0.203321520733758,27.698481522204055,33.56161529903846,5.8631337768344025
candidate_edge_rescale_distribution_p80,S-NP,rescale_q95,reconstructed_run,72,61.8016128321556,63.17659834313228,3.5854516724225607,0.4225495318644401,54.96480137075189,66.9052260040605,11.940424633308602
candidate_edge_rescale_distribution_p80,S-NP,rescale_q99,reconstructed_run,72,309.4050596950295,313.43529904542066,19.089294886394057,2.249694977039821,272.1007206679979,344.6520802782879,72.55135961028998
candidate_edge_rescale_distribution_p80,S-NP,rescale_q999,reconstructed_run,72,3107.308777864374,3112.037466617643,243.29066761612987,28.67208014512797,2693.166482519576,3788.674617126349,1095.5081346067727
