method,family,method_label,cap_quantile,cap_percentile,pruning_pct,n,n_trained_networks,raw_run_count,pruning_seed_replicates_per_network_min,pruning_seed_replicates_per_network_max,sequence_retention_mean,sequence_retention_sd,sequence_retention_sem,post_acc_sequence_mean,post_acc_sequence_sd,post_acc_sequence_sem,effective_nonzero_recurrent_density_offdiag_mean,effective_nonzero_recurrent_density_offdiag_sd,effective_nonzero_recurrent_density_offdiag_sem,candidate_edge_cap_value_mean,candidate_edge_cap_value_sd,candidate_edge_cap_value_sem,post_rec_linear_rho_mean,post_rec_linear_rho_sd,post_rec_linear_rho_sem,post_rec_linear_rho_ratio_to_unpruned_mean,post_rec_linear_rho_ratio_to_unpruned_sd,post_rec_linear_rho_ratio_to_unpruned_sem
S-NP capped rescale,S-NP,S-NP capped q70,0.7,70,70,24,24,72,3,3,0.630940242453435,0.23716251209689887,0.048410595062837104,0.41041540996471854,0.12035439115990569,0.024567237220425284,0.2960366723744292,0.002836101580916704,0.0005789168109955518,6.783394933102553,0.34774984138128245,0.07098413912649405,1.1835796104537117,0.08805820070944398,0.017974804950477118,1.0333133445274272,0.033330631485075,0.006803586661931439
S-NP capped rescale,S-NP,S-NP capped q70,0.7,70,80,24,24,72,3,3,0.40445972471840896,0.312364488973405,0.0637611343125054,0.2566155943505051,0.17889249380258637,0.03651627738586155,0.19944776123206132,0.0008914703462306245,0.00018197062242394026,10.175092399653833,0.5216247620719238,0.1064762086897411,1.2257523636023204,0.06412865698515818,0.01309020729196715,1.0725461656793198,0.0594495826110461,0.012135095234874885
S-NP capped rescale,S-NP,S-NP capped q80,0.8,80,50,24,24,72,3,3,0.9308951496891681,0.057091796695919184,0.011653814200309715,0.6269947225644078,0.09097031459563458,0.018569237708313813,0.4659447982068113,0.00877076204757165,0.0017903243059932284,6.149591789288256,0.3332672424917682,0.06802789100743503,1.155437691344155,0.10906585185230787,0.022262973783344818,1.0067585121907627,0.011354676986851046,0.0023177637343256537
S-NP capped rescale,S-NP,S-NP capped q80,0.8,80,60,24,24,72,3,3,0.829977932452128,0.12789015026696327,0.026105467606827155,0.5533364183078996,0.07274824674251806,0.014849673683438147,0.3862046160680311,0.005748172477148621,0.0011733407935436767,7.686989736610321,0.4165840531147104,0.08503486375929382,1.1663673536645043,0.10128315925378015,0.02067433830906747,1.0170361255482305,0.019820110098954787,0.00404576303235192
S-NP capped rescale,S-NP,S-NP capped q80,0.8,80,70,24,24,72,3,3,0.6136358736442431,0.24459079710338916,0.04992688739032611,0.3983836811726276,0.1258477743060609,0.025688569359565715,0.2960366723744292,0.002836101580916704,0.0005789168109955518,10.24931964881376,0.5554454041529466,0.11337981834572498,1.1868594156371224,0.087837626419261,0.01792978041203338,1.0362085995087413,0.03357067437433041,0.006852585211519702
S-NP capped rescale,S-NP,S-NP capped q80,0.8,80,80,24,24,72,3,3,0.3952388729061463,0.31391302934656723,0.06407722879253427,0.2504940108959206,0.18039749085654613,0.03682348362307766,0.19944776123206132,0.0008914703462306245,0.00018197062242394026,15.373979473220645,0.8331681062294204,0.17006972751858757,1.2296260413196352,0.0632339166626645,0.012907569188433582,1.076032941735932,0.06060911044781146,0.012371782863427246
S-NP capped rescale,S-NP,S-NP capped q90,0.9,90,50,24,24,72,3,3,0.9211757812130862,0.06565571125155555,0.013401915938818286,0.6196997927676641,0.08682811578206825,0.017723714916113867,0.4659447982068113,0.00877076204757165,0.0017903243059932284,12.334716405244523,0.7000074519386625,0.14288842278296188,1.1564468128813636,0.10934011802981719,0.02231895813239494,1.0076235824283817,0.011413447494074002,0.0023297602138773865
S-NP capped rescale,S-NP,S-NP capped q90,0.9,90,60,24,24,72,3,3,0.8155835142708625,0.13751655308341168,0.028070448853392948,0.5427850923296901,0.07306175238950996,0.014913667755655752,0.3862046160680311,0.005748172477148621,0.0011733407935436767,15.418395506555655,0.8750093149233282,0.17861052847870237,1.1677118092775345,0.10132672774302622,0.020683231689693868,1.0182120683573117,0.01982102169333514,0.0040459491107756075
S-NP capped rescale,S-NP,S-NP capped q90,0.9,90,70,24,24,72,3,3,0.6018906158900185,0.24865498091129984,0.05075648543618133,0.3903062252162121,0.1289738115145867,0.02632666903271926,0.2960366723744292,0.002836101580916704,0.0005789168109955518,20.55786067540754,1.1666790865644376,0.2381473713049365,1.1888075239128535,0.0874653237270928,0.017853784443226998,1.0379456117287666,0.0338476484483781,0.006909122307636093
S-NP capped rescale,S-NP,S-NP capped q90,0.9,90,80,24,24,72,3,3,0.3886509136185858,0.31372070870759083,0.06403797150649276,0.24616975141141406,0.18070163146683216,0.03688556606518262,0.19944776123206132,0.0008914703462306245,0.00018197062242394026,30.83679101311132,1.7500186298466558,0.3572210569574046,1.2314013524187934,0.06266385920027621,0.01279120669619049,1.0776410819117814,0.06121106729268496,0.012494656789853559
