method,family,method_label,cap_quantile,cap_percentile,pruning_pct,n,n_trained_networks,raw_run_count,pruning_seed_replicates_per_network_min,pruning_seed_replicates_per_network_max,sequence_retention_mean,sequence_retention_sd,sequence_retention_sem,post_acc_sequence_mean,post_acc_sequence_sd,post_acc_sequence_sem,effective_nonzero_recurrent_density_offdiag_mean,effective_nonzero_recurrent_density_offdiag_sd,effective_nonzero_recurrent_density_offdiag_sem,candidate_edge_cap_value_mean,candidate_edge_cap_value_sd,candidate_edge_cap_value_sem,post_rec_linear_rho_mean,post_rec_linear_rho_sd,post_rec_linear_rho_sem,post_rec_linear_rho_ratio_to_unpruned_mean,post_rec_linear_rho_ratio_to_unpruned_sd,post_rec_linear_rho_ratio_to_unpruned_sem
L-NP capped rescale,L-NP,L-NP capped q70,0.7,70,50,24,24,72,3,3,0.9254532519222276,0.0917833024419512,0.01873518815752714,0.6230547401807253,0.10032930923602847,0.020479634489514443,0.4501528440285932,0.03506656403219846,0.007157932409293305,4.246383707234503,0.6116413853788331,0.12485077497892871,1.1556522796551387,0.11036575417846071,0.022528315234555767,1.0068258704772544,0.010839250178093543,0.002212552677558406
L-NP capped rescale,L-NP,L-NP capped q70,0.7,70,60,24,24,72,3,3,0.821562687494588,0.16013551188050124,0.03268752448388513,0.5482539900546182,0.10291320211679987,0.02100706941517278,0.37156276118109915,0.027881761122939733,0.005691340656780972,5.307979634043128,0.7645517317235412,0.15606346872366086,1.166009556916025,0.1038214707633129,0.021192468976283216,1.0165728863423684,0.021333922889731412,0.004354768774310363
L-NP capped rescale,L-NP,L-NP capped q70,0.7,70,70,24,24,72,3,3,0.604950767014599,0.2477074051129966,0.050563062336310215,0.3940313982322143,0.13311896258526193,0.027172794451878066,0.2850830449724125,0.019258420048906877,0.003931108531000609,7.077306178724171,1.0194023089647217,0.2080846249648812,1.1888344122303856,0.08972376421434691,0.01831478667724493,1.0378694362053693,0.03500791609753972,0.0071459609497614715
L-NP capped rescale,L-NP,L-NP capped q70,0.7,70,80,24,24,72,3,3,0.38798570025845214,0.3242785454569285,0.06619308090844958,0.2447399527785853,0.18842310548135147,0.03846170534832694,0.19381341604492827,0.010589268898607814,0.002161525462559397,10.61595926808626,1.529103463447083,0.3121269374473219,1.2317916436327827,0.06399222634346947,0.013062358503848997,1.0780389453156165,0.06336305558244353,0.012933929560049651
L-NP capped rescale,L-NP,L-NP capped q80,0.8,80,50,24,24,72,3,3,0.9202849040082538,0.09666561152444923,0.019731785325750147,0.6190290462123657,0.09769036067138188,0.019940961369444926,0.4501528440285932,0.03506656403219846,0.007157932409293305,6.405742579390954,0.9312404344308243,0.19008865768360458,1.1571649776564705,0.1104371018073743,0.02254287900832208,1.0081592743516565,0.01151090271593139,0.0023496531777374144
L-NP capped rescale,L-NP,L-NP capped q80,0.8,80,60,24,24,72,3,3,0.81181306070124,0.16554423865620846,0.03379157621376943,0.5408353716911808,0.10147562508654417,0.020713625232666778,0.37156276118109915,0.027881761122939733,0.005691340656780972,8.007178224238693,1.1640505430385302,0.23761082210450568,1.168572637769911,0.10334677816954485,0.021095572756332382,1.0188779848956737,0.02232736229627395,0.004557553744010576
L-NP capped rescale,L-NP,L-NP capped q80,0.8,80,70,24,24,72,3,3,0.5929404288182752,0.25325027936549954,0.05169449680523046,0.38538049123408885,0.13618424552678976,0.027798492712211454,0.2850830449724125,0.019258420048906877,0.003931108531000609,10.676237632318257,1.552067390718041,0.3168144294726744,1.1916919201612473,0.088903661092685,0.01814738382853365,1.0404661288215857,0.03626569921788895,0.0074027048540899094
L-NP capped rescale,L-NP,L-NP capped q80,0.8,80,80,24,24,72,3,3,0.3826660830306518,0.3264588185925864,0.0666381272986379,0.24115514911081967,0.19004295315265785,0.03879235536963829,0.19381341604492827,0.010589268898607814,0.002161525462559397,16.01435644847739,2.328101086077062,0.47522164420901175,1.2354625165462494,0.06321198471191915,0.012903092347734419,1.0813771065920308,0.06504585803847981,0.013277430172982255
L-NP capped rescale,L-NP,L-NP capped q90,0.9,90,50,24,24,72,3,3,0.9148650159609838,0.10012498637736503,0.020437927260638426,0.6149103081353359,0.09521786509827847,0.019436265323995457,0.4501528440285932,0.03506656403219846,0.007157932409293305,12.821024267121073,1.9063521560112786,0.38913250435685204,1.1582553486029308,0.11026636494433216,0.02250802749209402,1.0091405436918552,0.01230661042700226,0.0025120763341142122
L-NP capped rescale,L-NP,L-NP capped q90,0.9,90,60,24,24,72,3,3,0.8035182556317421,0.16895353169576427,0.034487495241313934,0.5347269209765609,0.10061854517550799,0.020538674528431056,0.37156276118109915,0.027881761122939733,0.005691340656780972,16.02628033390134,2.3829401950140974,0.48641563044606484,1.1699493130048115,0.1031216271242175,0.021049613991656863,1.0201248892551922,0.023379895938768505,0.004772401274112628
L-NP capped rescale,L-NP,L-NP capped q90,0.9,90,70,24,24,72,3,3,0.5841503798918174,0.257061316677673,0.052472421539024865,0.3791176261281823,0.13856654464335713,0.028284777483067555,0.2850830449724125,0.019258420048906877,0.003931108531000609,21.36837377853512,3.1772535933521313,0.6485541739280868,1.19325233830346,0.08843389193765826,0.018051492601307492,1.041891292188885,0.03713816924369184,0.007580797052347406
L-NP capped rescale,L-NP,L-NP capped q90,0.9,90,80,24,24,72,3,3,0.3791721019646479,0.3271529047472303,0.0667798070416719,0.23884831462680547,0.19065240776581246,0.038916759771606135,0.19381341604492827,0.010589268898607814,0.002161525462559397,32.05256066780269,4.765880390028196,0.9728312608921299,1.237111152874099,0.06309045874746054,0.01287828596411582,1.0828901339659154,0.0662244776195516,0.013518014887522148
S-NP capped rescale,S-NP,S-NP capped q10,0.1,10,50,24,24,72,3,3,0.3318287223850062,0.2346496641126542,0.04789766211595538,0.20697663470205105,0.13353877715183707,0.02725848874143613,0.4659447982068113,0.00877076204757165,0.0017903243059932284,1.0114429468853954,0.015529039194417352,0.0031698518518336045,1.1158042798439662,0.08973003667570265,0.01831606703805767,0.9737797755777621,0.032711194267139594,0.0066771445692955286
S-NP capped rescale,S-NP,S-NP capped q10,0.1,10,60,24,24,72,3,3,0.3190256081422877,0.23609991015301132,0.04819369234931927,0.1986889564741923,0.1347872065212683,0.02751332331935372,0.3862046160680311,0.005748172477148621,0.0011733407935436767,1.2562009910583092,0.02641137495671275,0.005391199337439033,1.11763490902053,0.08895721747059399,0.018158315978396043,0.9754498627245946,0.033263614074373386,0.0067899067902563144
S-NP capped rescale,S-NP,S-NP capped q10,0.1,10,70,24,24,72,3,3,0.3027048097878906,0.23449571704658886,0.04786623780268383,0.18826258972067747,0.1343776117254483,0.027429715131765512,0.2960366723744292,0.002836101580916704,0.0005789168109955518,1.6749346547444122,0.035215166608950334,0.007188265783252043,1.1264087309439976,0.08355593666204796,0.01705578415019395,0.983664254067357,0.03866700369307959,0.007892869077529811
S-NP capped rescale,S-NP,S-NP capped q10,0.1,10,80,24,24,72,3,3,0.2715009164495437,0.23312945346426106,0.047587350416779646,0.16841751684806974,0.13394265725573168,0.0273409304224198,0.19944776123206132,0.0008914703462306245,0.00018197062242394026,2.5124019821166192,0.05282274991342554,0.010782398674878074,1.150358224908511,0.06998092802094383,0.014284797114812484,1.0057992432836536,0.049000436115790025,0.010002172138127506
S-NP capped rescale,S-NP,S-NP capped q20,0.2,20,50,24,24,72,3,3,0.6674187471791838,0.1910153968359627,0.03899085460527908,0.43935085513023736,0.10062277852423018,0.02053953865712044,0.4659447982068113,0.00877076204757165,0.0017903243059932284,1.289650410108344,0.013417344453535138,0.0027388039678602574,1.1269629183742735,0.09683023744191883,0.019765389450436655,0.982833908861351,0.022985661180369987,0.004691928441033814
S-NP capped rescale,S-NP,S-NP capped q20,0.2,20,60,24,24,72,3,3,0.6049755021353936,0.21387491636743922,0.04365703449005437,0.39318716048359054,0.10251355695609252,0.020925492188347314,0.3862046160680311,0.005748172477148621,0.0011733407935436767,1.6120630126354298,0.01677168056691892,0.003423504959825321,1.1306256535980437,0.09465396745373467,0.019321160199304657,0.986245841483732,0.025260550181228924,0.005156288213831667
