family,method,cap_percentile,cap_quantile,pruning_pct,n,n_trained_networks,raw_run_count,pruning_seed_replicates_per_network_min,pruning_seed_replicates_per_network_max,post_rec_ct_abscissa_mean,post_rec_ct_abscissa_sd,post_rec_ct_abscissa_sem,abs_post_rec_ct_abscissa_mean,abs_post_rec_ct_abscissa_sd,abs_post_rec_ct_abscissa_sem,raw_post_rec_ct_abscissa_mean,raw_abs_post_rec_ct_abscissa_mean
S-NP,S-NP capped rescale,20,0.2,80,24,24,72,3,3,1.5405562072992325,0.41254524337199683,0.08421044517280801,1.5405562072992325,0.41254524337199683,0.08421044517280801,1.5405562072992325,1.5405562072992325
S-NP,S-NP capped rescale,30,0.3,50,24,24,72,3,3,1.016382729427682,0.7146594783088304,0.14587925514168812,1.016382729427682,0.7146594783088304,0.14587925514168812,1.016382729427682,1.016382729427682
S-NP,S-NP capped rescale,30,0.3,60,24,24,72,3,3,1.0870383265945647,0.6751731126228633,0.1378191344977246,1.0870383265945647,0.6751731126228633,0.1378191344977246,1.0870383265945647,1.0870383265945647
S-NP,S-NP capped rescale,30,0.3,70,24,24,72,3,3,1.2795669494403734,0.5724602778522697,0.11685296489582858,1.2795669494403734,0.5724602778522697,0.11685296489582858,1.2795669494403734,1.2795669494403734
S-NP,S-NP capped rescale,30,0.3,80,24,24,72,3,3,1.6997268696626027,0.38113963353914687,0.07779980191018998,1.6997268696626027,0.38113963353914687,0.07779980191018998,1.6997268696626027,1.6997268696626027
S-NP,S-NP capped rescale,40,0.4,50,24,24,72,3,3,1.0649209887617166,0.7254722270208456,0.1480863982301359,1.0649209887617166,0.7254722270208456,0.1480863982301359,1.0649209887617164,1.0649209887617164
S-NP,S-NP capped rescale,40,0.4,60,24,24,72,3,3,1.1582310787505572,0.6734999830882861,0.13747760836161674,1.1582310787505572,0.6734999830882861,0.13747760836161674,1.1582310787505574,1.1582310787505574
S-NP,S-NP capped rescale,40,0.4,70,24,24,72,3,3,1.3673566770222454,0.5631897723748,0.11496063088937213,1.3673566770222454,0.5631897723748,0.11496063088937213,1.3673566770222452,1.3673566770222452
S-NP,S-NP capped rescale,40,0.4,80,24,24,72,3,3,1.8240707996818755,0.35941095220994224,0.07336445340684905,1.8240707996818755,0.35941095220994224,0.07336445340684905,1.8240707996818755,1.8240707996818755
S-NP,S-NP capped rescale,50,0.5,50,24,24,72,3,3,1.106539536267519,0.7345114063376608,0.14993151298177892,1.106539536267519,0.7345114063376608,0.14993151298177892,1.106539536267519,1.106539536267519
S-NP,S-NP capped rescale,50,0.5,60,24,24,72,3,3,1.2157834966977437,0.6728557973274403,0.1373461144938135,1.2157834966977437,0.6728557973274403,0.1373461144938135,1.2157834966977437,1.2157834966977437
S-NP,S-NP capped rescale,50,0.5,70,24,24,72,3,3,1.4388535304201975,0.5556158058526606,0.11341460144702516,1.4388535304201975,0.5556158058526606,0.11341460144702516,1.4388535304201975,1.4388535304201975
S-NP,S-NP capped rescale,50,0.5,80,24,24,72,3,3,1.9155209759871166,0.34424305461783195,0.07026831927589407,1.9155209759871166,0.34424305461783195,0.07026831927589407,1.9155209759871166,1.9155209759871166
S-NP,S-NP capped rescale,60,0.6,50,24,24,72,3,3,1.142495039022631,0.737379925633679,0.15051704703115998,1.142495039022631,0.737379925633679,0.15051704703115998,1.1424950390226312,1.1424950390226312
S-NP,S-NP capped rescale,60,0.6,60,24,24,72,3,3,1.2629087401760948,0.6697906348412818,0.13672044082132942,1.2629087401760948,0.6697906348412818,0.13672044082132942,1.262908740176095,1.262908740176095
S-NP,S-NP capped rescale,60,0.6,70,24,24,72,3,3,1.4938828034533393,0.5486854304518181,0.11199994449219178,1.4938828034533393,0.5486854304518181,0.11199994449219178,1.4938828034533396,1.4938828034533396
S-NP,S-NP capped rescale,60,0.6,80,24,24,72,3,3,1.9865700602531433,0.3331374572179624,0.06800139869935573,1.9865700602531433,0.3331374572179624,0.06800139869935573,1.9865700602531433,1.9865700602531433
S-NP,S-NP capped rescale,70,0.7,50,24,24,72,3,3,1.1707852826350267,0.7403139218609897,0.15111594650317345,1.1707852826350267,0.7403139218609897,0.15111594650317345,1.1707852826350265,1.1707852826350265
S-NP,S-NP capped rescale,70,0.7,60,24,24,72,3,3,1.2981494284338424,0.6674031350299117,0.1362330944630921,1.2981494284338424,0.6674031350299117,0.1362330944630921,1.2981494284338422,1.2981494284338422
S-NP,S-NP capped rescale,70,0.7,70,24,24,72,3,3,1.5345664223035176,0.5436033236517771,0.11096256378565603,1.5345664223035176,0.5436033236517771,0.11096256378565603,1.5345664223035176,1.5345664223035176
S-NP,S-NP capped rescale,70,0.7,80,24,24,72,3,3,2.042630703912841,0.3243618239646875,0.06621008006266207,2.042630703912841,0.3243618239646875,0.06621008006266207,2.042630703912841,2.042630703912841
